month,revenue,budget,jobs,costs
2025-01,135002.8,0,0,106543.26999999999
2025-02,225985.97,0,0,97090.76
2025-03,156476.57,0,0,151112.61000000002
2025-04,115714.31,0,0,113065.95
2025-05,306614.54,0,0,172052.77
2025-06,195376.77,0,0,192660.72
2025-07,254451.18,0,0,198130.16
2025-08,219689.29,0,0,189992.84
2025-09,215177.73,0,0,214672.45
2025-10,287921.65,0,0,211336.12
2025-11,242439.97,0,0,192394.46
2025-12,197595.08,0,0,220475.47999999998
